"","member_casual","day_of_week","average_length_ride"
"1","casual","Sunday",2346.82979932845
"2","member","Sunday",915.691270291438
"3","casual","Monday",1991.25056962401
"4","member","Monday",769.990434927215
"5","casual","Tuesday",1693.353867975
"6","member","Tuesday",740.207503595991
"7","casual","Wednesday",1734.72051722364
"8","member","Wednesday",749.313039127515
"9","casual","Thursday",1787.97880781091
"10","member","Thursday",752.344637181044
"11","casual","Friday",1871.27497681821
"12","member","Friday",777.535718159654
"13","casual","Saturday",2165.56473567321
"14","member","Saturday",897.575964816547
